Employee_ID,Age,Years_Experience,Tenure_TCS,Job_Level,Department,Skill_AI_Basic,Skill_AI_Advanced,Skill_Cloud,Billable_Days,Bench_Days,Project_Type,Performance_Score,Redeployment_Attempts,Geographic_Region,Salary,Client_Satisfaction,Layoff_Status
EMP000061,31,5.1,3.4,Senior,Consulting,False,False,Basic,220,7,Agile,2.9,1,APAC,111217.83,4.98,False
EMP000062,33,6.8,5.4,Junior,IT Services,True,True,None,175,19,Agile,3.9,0,Europe,47200.06,4.55,False
EMP000063,26,9.0,5.3,Mid,Consulting,True,False,Basic,260,5,Agile,3.8,1,North America,56683.49,,False
EMP000064,25,5.8,5.8,Mid,BPO,True,False,None,170,16,Product-Aligned,2.5,3,India,50722.67,,False
EMP000065,41,12.9,3.6,Junior,BPO,False,False,Basic,260,21,Product-Aligned,3.1,0,India,33641.07,3.06,False
EMP000066,45,9.1,5.8,Senior,Consulting,True,False,None,260,12,Waterfall,2.5,1,India,112274.58,2.72,False
EMP000067,34,9.9,7.9,Mid,BPO,True,False,Basic,142,10,Agile,3.6,1,Others,62394.48,,False
EMP000068,43,7.6,3.2,Senior,BPO,True,False,Basic,227,27,Product-Aligned,3.0,0,India,101545.35,5.0,False
EMP000069,37,15.8,3.6,Junior,Consulting,True,False,Basic,185,7,Product-Aligned,4.3,1,India,27844.68,4.49,False
EMP000070,29,5.4,3.0,Junior,BPO,False,False,None,246,37,Waterfall,5.0,2,India,33534.75,4.94,False
EMP000071,37,10.0,4.0,Mid,IT Services,True,True,None,216,13,Waterfall,3.2,3,India,88508.24,5.0,False
EMP000072,47,6.0,5.4,Senior,Consulting,True,False,None,207,6,Waterfall,4.2,0,Europe,115516.48,3.2,False
EMP000073,34,7.5,5.7,Junior,Engineering,True,False,Basic,182,22,Agile,1.0,1,India,45227.99,4.36,False
EMP000074,47,15.0,9.1,Junior,BPO,True,False,Advanced,223,0,Product-Aligned,4.0,5,India,27927.41,3.84,False
EMP000075,22,8.4,3.5,Mid,IT Services,True,False,Basic,143,9,Agile,4.5,0,India,69253.74,3.94,False
EMP000076,41,10.8,5.6,Junior,Engineering,True,False,Basic,237,15,Agile,3.2,2,Europe,28703.75,,False
EMP000077,35,13.6,3.8,Mid,IT Services,True,False,None,233,9,Agile,1.9,0,India,50827.75,3.78,False
EMP000078,32,5.2,2.7,Junior,Consulting,True,False,None,220,7,None,4.0,1,APAC,33291.63,3.7,False
EMP000079,35,10.8,2.2,Mid,Others,True,False,Basic,162,18,Waterfall,3.8,5,India,58868.09,3.71,False
EMP000080,22,10.3,5.8,Senior,IT Services,True,True,Advanced,161,5,Agile,4.1,1,India,90000.0,4.24,False
EMP000081,33,6.2,3.3,Junior,BPO,True,True,Advanced,173,15,Agile,3.6,2,India,34036.16,3.93,False
EMP000082,37,6.6,5.0,Senior,Others,True,False,None,163,18,Agile,3.7,1,India,116750.2,4.73,False
EMP000083,46,7.2,3.7,Junior,Consulting,True,False,Basic,212,8,Waterfall,2.5,2,India,21321.75,3.29,False
EMP000084,30,15.0,2.9,Mid,Others,True,False,Basic,179,10,Waterfall,4.1,1,India,63883.88,4.37,False
EMP000085,28,8.9,6.9,Junior,IT Services,True,False,Advanced,184,6,Waterfall,4.9,1,India,46330.28,3.14,False
EMP000086,30,5.9,4.2,Junior,Others,True,False,Basic,181,9,Agile,2.6,1,Europe,34735.75,3.39,False
EMP000087,42,12.8,2.2,Mid,Consulting,True,False,None,153,17,Product-Aligned,3.4,1,India,66347.85,,False
EMP000088,37,9.6,1.5,Mid,IT Services,True,False,Basic,178,7,Agile,2.9,1,India,59468.06,3.9,False
EMP000089,30,15.7,3.2,Mid,Others,True,True,None,244,9,Agile,3.1,2,Europe,84273.62,3.86,False
EMP000090,39,9.4,3.1,Junior,Consulting,True,False,Advanced,233,23,Agile,3.7,1,India,26278.73,4.24,False
EMP000091,35,13.3,3.2,Mid,IT Services,True,False,None,219,20,None,3.7,0,India,51866.8,4.88,False
EMP000092,42,13.9,3.9,Junior,Consulting,False,False,None,259,15,Agile,3.2,1,Others,30881.83,4.82,False
EMP000093,29,9.0,3.8,Junior,Others,True,False,Basic,178,29,Agile,4.7,5,India,26948.74,3.97,False
EMP000094,32,22.4,4.2,Mid,IT Services,True,False,None,186,18,Waterfall,4.2,2,India,54903.92,5.0,False
EMP000095,31,12.8,7.9,Senior,Consulting,True,False,Basic,240,23,Waterfall,4.0,0,APAC,93020.47,,False
EMP000096,23,9.4,2.4,Mid,Engineering,True,False,None,198,11,Product-Aligned,5.0,1,India,72737.78,3.59,False
EMP000097,37,5.5,5.5,Junior,IT Services,True,True,Advanced,163,13,Waterfall,3.4,0,India,26562.58,4.0,False
EMP000098,37,12.0,4.2,Senior,BPO,True,True,Basic,152,8,Agile,3.1,1,India,100747.97,3.88,False
EMP000099,35,8.3,3.6,Junior,BPO,True,False,Basic,163,14,Agile,4.0,3,India,28051.74,,False
EMP000100,33,6.8,4.2,Mid,BPO,True,False,Basic,251,14,Agile,3.3,5,India,67761.03,,False
EMP000101,23,12.7,5.5,Junior,IT Services,True,False,None,208,6,Waterfall,4.8,1,Europe,23451.5,4.45,False
EMP000102,31,6.1,4.1,Mid,Others,True,False,None,212,16,Product-Aligned,3.4,0,India,56033.91,3.86,False
EMP000103,32,7.3,4.3,Junior,Consulting,True,False,None,201,22,Product-Aligned,4.3,1,India,42080.2,4.02,False
EMP000104,28,5.5,3.5,Mid,Others,True,False,Basic,171,20,None,2.8,4,APAC,75447.92,4.25,False
EMP000105,33,5.9,3.8,Mid,IT Services,True,False,Basic,94,4,Agile,2.8,3,India,52736.11,4.98,True
EMP000106,38,6.3,3.6,Senior,Consulting,True,True,Advanced,134,14,Waterfall,3.1,3,Europe,119824.38,3.82,False
EMP000107,50,4.2,4.0,Junior,BPO,False,False,Basic,249,5,Agile,3.7,1,APAC,20000.0,4.38,False
EMP000108,36,7.9,2.8,Junior,Engineering,True,False,None,230,25,Product-Aligned,4.3,1,India,24336.33,3.83,False
EMP000109,37,13.4,3.5,Junior,IT Services,True,False,Advanced,260,8,Waterfall,4.9,3,India,41307.72,4.3,False
EMP000110,34,7.7,6.2,Senior,Consulting,True,False,Basic,210,10,Product-Aligned,3.3,2,North America,136538.59,2.98,False
EMP000111,22,7.7,2.3,Senior,IT Services,True,False,None,228,21,Agile,3.5,4,APAC,91775.9,,False
EMP000112,34,14.6,1.5,Junior,Others,True,True,Advanced,148,16,Product-Aligned,3.3,1,Europe,21352.61,,False
EMP000113,35,12.8,3.6,Junior,IT Services,True,True,Advanced,136,15,Agile,3.5,1,India,31038.84,4.79,False
EMP000114,54,11.5,3.4,Mid,Consulting,True,True,Basic,242,18,Agile,3.1,3,India,75572.62,,False
EMP000115,33,6.9,4.6,Mid,IT Services,True,False,Advanced,211,18,Agile,2.5,0,India,52523.9,3.52,False
EMP000116,37,6.7,5.9,Junior,IT Services,True,True,None,200,10,Product-Aligned,3.5,5,Europe,21035.69,3.15,False
EMP000117,34,14.0,8.7,Mid,Consulting,True,True,Basic,179,16,Agile,3.2,2,India,54482.37,5.0,False
EMP000118,25,9.0,3.2,Junior,Engineering,True,True,Advanced,260,15,Agile,4.1,1,India,26342.36,,False
EMP000119,44,7.8,6.9,Junior,BPO,True,False,Basic,166,15,Product-Aligned,3.0,1,India,25137.29,4.65,False
EMP000120,41,6.5,3.5,Mid,Consulting,True,False,Basic,259,31,Waterfall,3.0,2,India,50000.0,3.8,False
EMP000121,41,9.8,5.5,Senior,Others,False,False,None,200,20,None,3.7,0,India,90880.04,,False
EMP000122,27,5.0,2.8,Senior,BPO,False,False,None,119,5,Product-Aligned,2.8,4,India,126833.62,3.1,True
EMP000123,46,7.8,4.4,Mid,BPO,True,False,Advanced,224,11,Waterfall,3.9,0,India,59003.44,,False
EMP000124,23,6.0,1.2,Senior,BPO,True,False,None,197,12,Agile,4.3,1,Europe,103016.12,4.57,False
EMP000125,39,16.7,2.9,Junior,Others,False,False,None,182,28,Product-Aligned,3.0,0,India,20903.55,3.9,False
EMP000126,52,6.2,4.5,Junior,Engineering,True,False,Basic,204,14,Waterfall,2.1,2,India,38662.12,4.47,False
EMP000127,27,5.7,5.7,Junior,Consulting,True,True,None,96,13,Product-Aligned,4.0,1,North America,24724.47,5.0,False
EMP000128,30,4.7,2.1,Junior,Consulting,True,False,Basic,207,31,Agile,3.3,0,India,30736.83,3.76,False
EMP000129,35,5.3,3.9,Mid,IT Services,True,False,Advanced,203,6,Waterfall,2.5,0,India,55219.37,4.27,False
EMP000130,30,11.8,7.6,Junior,IT Services,True,False,None,260,18,Product-Aligned,2.3,2,India,28054.59,3.55,False
EMP000131,22,19.1,3.3,Mid,IT Services,True,True,None,260,22,Agile,3.8,1,India,54512.19,3.4,False
EMP000132,35,5.3,3.6,Mid,IT Services,True,False,Basic,188,13,Agile,2.7,1,India,50000.0,4.5,False
EMP000133,26,6.6,6.6,Senior,Engineering,True,False,Basic,239,2,None,5.0,1,India,112888.41,3.53,False
EMP000134,38,11.7,6.1,Mid,Consulting,True,True,Advanced,253,8,Waterfall,2.7,0,India,78644.58,4.2,False
EMP000135,27,7.0,3.6,Junior,Consulting,True,False,None,203,29,Product-Aligned,3.8,0,North America,35350.75,,False
EMP000136,47,14.9,8.0,Mid,IT Services,True,False,None,209,9,Waterfall,3.6,3,Others,73864.92,4.4,False
EMP000137,28,13.1,2.6,Mid,Consulting,True,False,Advanced,184,12,Agile,2.4,3,India,88744.46,4.23,False
EMP000138,32,9.9,2.2,Mid,BPO,True,False,Basic,147,9,Waterfall,4.7,0,India,52299.15,,False
EMP000139,41,9.7,7.8,Junior,IT Services,True,False,Basic,244,16,Product-Aligned,2.7,0,Europe,43543.28,2.79,False
EMP000140,25,7.2,2.0,Junior,BPO,True,False,Advanced,160,7,Agile,5.0,3,India,25799.11,2.68,False
EMP000141,36,14.7,3.9,Junior,Consulting,True,False,None,189,12,Waterfall,2.7,1,India,22944.42,3.72,False
EMP000142,45,4.5,2.5,Junior,Engineering,True,False,None,242,12,Product-Aligned,4.8,0,APAC,24879.98,,False
EMP000143,22,4.0,4.0,Junior,IT Services,True,False,Advanced,144,23,Waterfall,3.0,0,India,34374.38,3.29,False
EMP000144,36,9.6,5.4,Junior,BPO,True,True,None,188,5,Waterfall,4.4,0,Europe,38653.33,,False
EMP000145,37,5.3,2.7,Senior,IT Services,False,False,Basic,256,11,Waterfall,3.9,2,Europe,98167.7,,False
EMP000146,41,14.4,4.9,Junior,Engineering,False,False,None,143,18,Waterfall,2.1,0,India,20000.0,5.0,False
EMP000147,25,13.4,2.3,Mid,Engineering,True,True,Basic,182,20,Agile,5.0,2,India,50000.0,4.2,False
EMP000148,24,9.3,3.3,Mid,IT Services,True,False,None,148,16,Waterfall,2.5,0,India,53897.28,3.72,True
EMP000149,39,15.1,9.8,Mid,Others,True,False,Basic,239,10,Waterfall,3.5,1,India,50000.0,3.45,False
EMP000150,37,12.2,3.1,Junior,IT Services,False,False,Basic,260,12,Agile,2.8,0,India,22677.55,4.88,False
EMP000151,37,13.9,3.1,Mid,Engineering,True,False,None,248,12,Waterfall,3.6,3,India,68876.33,3.11,False
EMP000152,37,14.1,8.0,Mid,Consulting,True,False,None,214,5,Agile,4.1,5,India,50876.52,3.39,False
EMP000153,29,14.9,2.9,Senior,IT Services,True,True,None,192,15,None,3.3,3,North America,102703.21,3.66,False
EMP000154,36,7.0,4.2,Junior,Engineering,True,False,None,230,9,Agile,2.4,3,APAC,43504.7,4.83,False
EMP000155,37,4.6,4.6,Mid,Consulting,True,False,None,226,12,Waterfall,3.0,1,India,93967.4,4.83,False
EMP000156,29,14.5,2.7,Senior,BPO,True,True,Basic,149,7,Agile,3.6,2,Europe,98936.33,,False
EMP000157,49,10.0,5.6,Junior,BPO,True,False,Basic,155,10,Product-Aligned,2.7,1,North America,31509.97,,False
EMP000158,38,8.0,5.9,Mid,Others,True,False,None,137,16,None,4.1,3,India,75316.41,3.82,False
EMP000159,25,8.2,3.0,Junior,Others,True,False,Advanced,209,13,Waterfall,2.7,0,India,27969.63,5.0,False
EMP000160,40,6.0,4.1,Junior,IT Services,True,False,None,189,10,Agile,4.0,0,India,41668.53,4.69,False
EMP000161,27,11.1,4.9,Senior,BPO,True,False,Basic,224,6,Agile,3.0,0,India,136873.63,,False
EMP000162,41,8.7,3.8,Junior,Consulting,True,False,Basic,249,13,Agile,5.0,2,India,45866.75,3.44,False
EMP000163,44,8.3,3.4,Mid,Consulting,True,False,None,213,7,Waterfall,4.0,1,Europe,93669.46,,False
EMP000164,28,7.1,3.5,Mid,BPO,True,False,Basic,196,2,Agile,4.3,1,APAC,57836.38,3.14,False
EMP000165,42,7.9,3.2,Junior,Consulting,True,False,Basic,251,10,Agile,3.2,4,APAC,28648.2,2.83,False
EMP000166,38,7.3,5.8,Senior,Consulting,True,False,Basic,138,9,Product-Aligned,4.2,4,India,139494.56,,False
EMP000167,41,5.2,5.1,Junior,Consulting,True,False,None,202,13,Waterfall,3.5,4,Europe,29424.47,3.58,False
EMP000168,50,6.5,3.5,Junior,Consulting,True,False,None,191,14,Agile,3.4,0,North America,27042.68,3.12,False
EMP000169,33,8.0,1.3,Junior,BPO,True,False,Basic,193,4,Waterfall,3.9,2,India,30968.25,,False
EMP000170,28,15.1,1.5,Mid,Consulting,True,False,None,179,10,None,2.5,0,India,53865.67,4.07,False
EMP000171,27,5.2,4.8,Junior,Engineering,True,False,None,252,10,Product-Aligned,3.1,2,Europe,23968.03,3.43,False
EMP000172,28,6.9,3.9,Mid,Consulting,True,True,Basic,130,21,Agile,2.9,2,India,56773.69,,True
EMP000173,34,7.1,4.1,Mid,Consulting,True,False,Advanced,227,14,Agile,5.0,3,India,55104.44,2.06,False
EMP000174,37,6.7,4.0,Junior,IT Services,True,False,None,159,6,Waterfall,4.6,0,India,46198.92,4.52,False
EMP000175,37,14.7,4.0,Mid,BPO,False,False,Advanced,118,2,Waterfall,2.9,1,India,53555.92,,True
EMP000176,41,3.7,3.7,Mid,BPO,True,False,Basic,217,12,Agile,4.1,0,Europe,64144.16,,False
EMP000177,35,9.2,5.4,Senior,Consulting,True,True,None,220,9,Waterfall,3.2,1,India,101180.99,4.16,False
EMP000178,46,6.1,6.0,Senior,IT Services,True,False,Basic,254,15,Product-Aligned,4.1,0,India,122060.77,3.52,False
EMP000179,32,12.0,4.5,Senior,Engineering,True,False,None,201,17,Product-Aligned,4.3,0,India,97824.63,4.64,False
EMP000180,56,6.0,2.4,Junior,IT Services,True,False,Basic,238,9,Product-Aligned,3.3,4,India,23147.53,4.15,False
EMP000181,40,7.9,4.3,Mid,IT Services,True,False,None,235,8,Agile,2.9,5,India,65438.0,4.18,False
EMP000182,28,6.9,4.2,Mid,BPO,True,True,Advanced,206,7,Waterfall,3.6,0,India,58996.6,,False
EMP000183,26,7.7,6.4,Junior,IT Services,True,False,Basic,148,11,Waterfall,3.4,4,India,31325.32,4.54,False
EMP000184,38,13.6,3.1,Senior,IT Services,True,False,Basic,228,13,Product-Aligned,3.7,1,India,140586.83,4.65,False
EMP000185,33,9.8,3.4,Junior,Engineering,True,False,Advanced,235,9,Agile,4.0,1,North America,31106.0,4.76,False
EMP000186,40,14.0,5.3,Mid,Others,True,False,Basic,164,4,Product-Aligned,3.7,3,Europe,57383.45,4.31,False
EMP000187,38,20.7,4.1,Junior,IT Services,True,False,None,185,5,Agile,4.1,1,North America,21692.29,,False
EMP000188,34,4.9,2.1,Mid,IT Services,False,False,Basic,129,10,None,3.3,1,India,64553.36,3.76,False
EMP000189,28,12.8,6.4,Mid,Others,True,False,Advanced,237,11,None,3.6,3,Europe,62823.96,4.25,False
EMP000190,22,5.4,2.9,Senior,BPO,False,False,Advanced,161,24,Agile,2.9,1,India,176448.95,3.3,False
EMP000191,31,8.9,7.4,Mid,BPO,True,False,None,225,11,Agile,3.1,3,India,57512.93,3.88,False
EMP000192,41,5.0,4.1,Mid,BPO,True,False,Basic,233,11,Waterfall,4.2,0,Europe,58448.37,,False
EMP000193,36,7.1,3.9,Mid,BPO,True,True,Basic,224,4,Agile,1.8,4,India,53799.98,3.79,False
EMP000194,25,6.2,4.9,Senior,Engineering,True,False,Advanced,204,11,Product-Aligned,4.5,2,India,98358.85,3.18,False
EMP000195,36,11.3,3.3,Junior,Engineering,True,False,None,239,5,Product-Aligned,3.7,0,Europe,29464.04,5.0,False
EMP000196,38,10.6,0.8,Mid,Others,True,False,Basic,196,1,Agile,2.6,3,India,68178.42,4.0,False
EMP000197,27,12.7,6.4,Junior,IT Services,True,False,None,241,17,Waterfall,4.1,2,APAC,38390.0,3.19,False
EMP000198,36,5.9,3.5,Mid,Consulting,True,False,Basic,182,3,None,3.7,0,India,50988.73,2.61,False
EMP000199,35,15.0,5.1,Junior,IT Services,True,False,Basic,249,20,None,3.9,1,India,35215.93,2.85,False
EMP000200,25,8.4,5.4,Junior,Engineering,True,False,None,209,6,Waterfall,3.6,5,India,51726.78,3.58,False
EMP000201,37,6.5,6.0,Senior,IT Services,True,False,Advanced,198,20,Product-Aligned,3.0,2,North America,97335.66,4.59,False
EMP000202,39,6.4,6.4,Mid,Engineering,True,False,None,200,7,Agile,3.3,2,North America,60810.24,3.48,False
EMP000203,43,11.0,2.7,Senior,Consulting,False,False,None,248,10,Agile,3.6,0,India,137259.52,4.32,False
EMP000204,43,10.3,1.5,Mid,BPO,True,True,Basic,182,13,Waterfall,4.0,1,India,56854.63,,False
EMP000205,23,8.7,2.3,Mid,Consulting,True,False,None,210,8,Waterfall,3.0,1,India,56971.95,5.0,False
EMP000206,27,9.2,2.7,Mid,Engineering,True,False,Basic,160,18,Waterfall,3.1,1,India,63236.93,3.82,False
EMP000207,39,8.5,3.1,Junior,IT Services,True,True,Basic,181,11,Agile,4.5,5,India,26452.88,4.73,False
EMP000208,39,13.9,4.2,Junior,Others,False,False,Basic,221,10,None,3.7,4,India,25945.06,3.09,False
EMP000209,39,23.2,5.9,Mid,BPO,True,False,None,175,6,Product-Aligned,3.7,2,India,64801.91,,False
EMP000210,60,10.0,4.2,Mid,BPO,True,False,None,238,12,Waterfall,5.0,1,India,70694.39,4.23,False
EMP000211,39,6.2,2.0,Senior,Consulting,True,False,Basic,258,9,Agile,4.1,0,India,131421.6,3.71,False
EMP000212,44,9.5,2.5,Junior,BPO,True,False,None,177,26,None,4.9,1,India,25053.4,,False
EMP000213,42,6.1,6.1,Mid,IT Services,True,True,None,178,1,Waterfall,4.0,3,Europe,64074.1,,False
EMP000214,40,7.9,1.2,Junior,IT Services,True,False,None,235,9,Agile,3.9,0,Europe,23051.62,,False
EMP000215,32,8.0,2.6,Mid,Engineering,True,False,None,212,15,Waterfall,5.0,0,India,75946.41,4.19,False
EMP000216,41,6.5,3.6,Mid,Consulting,True,False,Advanced,141,7,Agile,2.9,1,India,69210.02,4.53,True
EMP000217,28,4.7,4.7,Junior,Consulting,True,False,None,166,20,Agile,2.6,0,India,29928.09,3.65,False
EMP000218,33,15.7,1.2,Mid,IT Services,True,False,Basic,206,5,Waterfall,4.3,1,Europe,67550.36,3.01,False
EMP000219,31,15.4,5.2,Mid,BPO,False,False,None,260,20,Agile,3.2,5,Europe,79340.61,,False
EMP000220,35,11.0,2.6,Mid,IT Services,True,False,Basic,238,11,Agile,3.8,2,India,50000.0,3.2,False
EMP000221,53,15.7,1.9,Mid,BPO,True,False,Advanced,260,8,Agile,3.7,0,India,60772.51,,False
EMP000222,22,4.9,4.3,Junior,IT Services,True,True,None,201,16,Product-Aligned,3.2,2,India,21416.98,3.13,False
EMP000223,40,8.5,3.2,Senior,IT Services,True,False,Basic,105,14,Product-Aligned,3.1,0,APAC,134199.3,3.77,False
EMP000224,22,2.3,2.3,Senior,Consulting,True,True,None,260,9,Agile,3.6,2,North America,99610.75,3.99,False
EMP000225,31,7.5,4.5,Mid,IT Services,True,False,Advanced,162,5,Agile,3.1,1,India,50000.0,2.91,False
EMP000226,43,11.0,5.0,Mid,IT Services,True,False,None,143,6,Product-Aligned,3.9,0,India,57117.01,4.04,False
EMP000227,35,11.7,2.8,Junior,Consulting,False,False,None,235,19,Waterfall,3.7,1,North America,25313.21,3.44,False
EMP000228,26,7.1,7.1,Junior,Consulting,True,False,Basic,256,10,Waterfall,4.6,0,India,25792.91,3.95,False
